10대,여성,"신촌, 연희, 이대, 명동, 을지로, 왕십리, 송파, 잠실, 방이, 건대",,
10대,여성,"홍대, 연남, 강남, 신촌, 연희, 이대, 교대, 방배, 명동, 을지로",,
10대,여성,"홍대, 합정, 강남, 신촌, 연희, 이대, 신사, 서초, 교대, 방배",,
30대,남성,"강남, 역삼, 삼성, 신사, 논현, 청담, 압구정, 상암, 서초, 교대, 방배",,
40대,여성,"홍대, 연남, 신촌, 왕십리, 여의도, 문래, 신림, 서울대입구, 불광, 연신내",,
10대,여성,"홍대, 신촌, 명동, 을지로, 동대문, 성수, 왕십리, 서울숲, 영등포, 여의도",,
50대,여성,"성수, 영등포, 여의도, 잠실, 성신여대, 안암, 불광, 연신내, 은평, 목동",,
40대,여성,"청담, 압구정, 망원, 상암, 성수, 잠실, 한남, 관악, 신림, 서울대입구",,
10대,남성,"홍대, 강남, 신촌, 망원, 상암, 을지로, 성수, 송파, 잠실, 건대",,
10대,여성,"강남, 역삼, 삼성, 연희, 방배, 명동, 성수, 서울숲, 대학로, 송파, 잠실",,
50대,남성,"망원, 상암, 동대문, 문래, 종로, 광화문, 마포, 연신내, 은평, 강북",,
40대,여성,"강남, 연희, 이대, 신사, 상암, 성수, 왕십리, 서울숲, 잠실, 이태원",,
10대,여성,"홍대, 합정, 상수, 연남, 강남, 신촌, 연희, 이대, 신사, 논현",,
20대,여성,"홍대, 합정, 상수, 연남, 강남, 역삼, 신촌, 연희, 신사, 논현",,
40대,여성,"상수, 강남, 삼성, 신사, 논현, 왕십리, 문래, 잠실, 성신여대, 안암",,
40대,여성,"홍대, 합정, 상수, 연남, 강남, 왕십리, 서울숲, 잠실, 이태원, 한남",,
30대,남성,"홍대, 강남, 잠실, 용산, 이태원, 한남, 건대",,
30대,여성,"강남, 신촌, 연희, 압구정, 망원, 명동, 을지로, 동대문, 왕십리, 광화문",,
10대,여성,"홍대, 강남, 이대, 신사, 성수, 왕십리, 종로, 광화문, 잠실, 이태원, 마포",,
10대,여성,"홍대, 강남, 신촌, 을지로, 왕십리, 서울숲, 잠실, 이태원, 한남, 건대",,
30대,여성,"홍대, 강남, 신촌, 연희, 이대, 성수, 왕십리, 서울숲, 잠실, 한남",,
30대,남성,"강남, 역삼, 삼성, 명동, 을지로, 동대문, 성수, 왕십리, 영등포, 여의도",,
30대,여성,"강남, 역삼, 삼성, 서초, 교대, 종로, 광화문, 잠실, 이태원, 한남",,
40대,여성,"상암, 명동, 을지로, 동대문, 종로, 광화문, 잠실, 고척, 불광, 연신내",,
30대,여성,"홍대, 강남, 역삼, 신사, 논현, 청담, 압구정, 을지로, 성수, 여의도",,
20대,여성,"홍대, 합정, 강남, 역삼, 신촌, 이대, 광화문, 대학로, 잠실, 건대",,
20대,남성,"홍대, 강남, 논현, 청담, 압구정, 송파, 잠실, 방이, 이태원, 건대",,
30대,남성,"서초, 명동, 을지로, 동대문, 영등포, 여의도, 용산, 이태원, 한남, 서울대입구",,
10대,남성,"홍대, 강남, 논현, 명동, 을지로, 성수, 서울숲, 종로, 광화문, 잠실",,
30대,여성,"홍대, 합정, 연남, 신촌, 연희, 이대, 신사, 성수, 왕십리, 서울숲",,
30대,여성,"강남, 논현, 청담, 압구정, 을지로, 여의도, 용산, 이태원, 한남, 관악",,
40대,남성,"삼성, 논현, 압구정, 망원, 상암, 서초, 교대, 방배, 광화문, 잠실",,
30대,여성,"신사, 성수, 왕십리, 잠실, 이태원, 건대, 성신여대, 안암, 마포, 목동",,
20대,여성,"홍대, 강남, 논현, 청담, 압구정, 망원, 을지로, 동대문, 성수, 왕십리, 서울숲",,
40대,남성,"강남, 역삼, 신사, 논현, 압구정, 을지로, 동대문, 성수, 영등포, 여의도",,
40대,여성,"연남, 강남, 신사, 성수, 영등포, 여의도, 방이, 용산, 마포, 고척",,
50대,남성,"삼성, 신촌, 망원, 상암, 서초, 문래, 종로, 관악, 서울대입구, 은평",,
20대,여성,"홍대, 강남, 신촌, 압구정, 왕십리, 광화문, 대학로, 잠실, 건대, 성신여대",,
20대,여성,"상수, 연남, 강남, 논현, 상암, 을지로, 광화문, 건대, 성신여대, 강북",,
10대,남성,"홍대, 합정, 역삼, 상암, 서초, 성수, 여의도, 문래, 잠실, 용산",,
40대,남성,"삼성, 신촌, 신사, 논현, 압구정, 송파, 용산, 관악, 신림, 연신내",,
20대,여성,"이대, 신사, 청담, 망원, 왕십리, 영등포, 문래, 대학로, 방이, 용산",,
30대,여성,"연희, 신사, 청담, 동대문, 대학로, 서울대입구, 성신여대, 고척, 불광, 목동",,
30대,여성,"강남, 삼성, 망원, 상암, 여의도, 광화문, 신림, 건대, 성신여대, 불광",,
10대,여성,"삼성, 연희, 청담, 동대문, 성수, 왕십리, 한남, 서울대입구",,
30대,남성,"연남, 신촌, 이대, 신사, 을지로, 동대문, 성수, 광화문, 대학로, 방이",,
20대,여성,"합정, 신사, 논현, 동대문, 성수, 왕십리, 광화문, 방이, 불광, 쌍문",,
20대,남성,"역삼, 신촌, 이대, 논현, 방배, 을지로, 방이, 이태원, 성신여대, 안암",,
30대,여성,"삼성, 연희, 을지로, 왕십리, 방이, 관악, 성신여대, 마포, 강북, 목동",,
20대,남성,"논현, 압구정, 서초, 을지로, 왕십리, 여의도, 광화문, 잠실, 용산, 한남",,
20대,남성,"청담, 상암, 교대, 방배, 명동, 을지로, 왕십리, 여의도, 대학로, 은평",,
20대,여성,"신촌, 이대, 서초, 방배, 문래, 대학로, 용산, 한남, 안암, 고척",,
20대,남성,"상암, 방배, 왕십리, 서울숲, 여의도, 종로, 방이, 이태원, 은평, 쌍문",,
30대,남성,"삼성, 신사, 청담, 방배, 동대문, 서울숲, 종로, 광화문, 송파, 방이",,
10대,여성,"역삼, 신촌, 망원, 교대, 서울숲, 여의도, 종로, 잠실, 용산, 이태원",,
20대,남성,"용산, 이태원, 한남, 신림, 건대, 성신여대, 고척, 연신내, 은평, 쌍문",,
30대,여성,"합정, 강남, 삼성, 신촌, 신사, 동대문, 서울숲, 용산, 이태원, 신림",,
40대,여성,"역삼, 연희, 논현, 상암, 명동, 서울숲, 여의도, 광화문, 이태원, 신림",,
50대,여성,"압구정, 상암, 방배, 을지로, 관악, 신림, 건대, 강북, 쌍문, 목동",,
50대,남성,"홍대, 상수, 서초, 광화문, 신림, 건대, 불광, 강북, 쌍문, 목동",,
50대,남성,"이대, 논현, 청담, 교대, 을지로, 왕십리, 마포, 고척, 연신내, 강북",,
40대,남성,"이대, 논현, 잠실, 방이, 이태원, 관악, 서울대입구, 마포, 고척, 연신내",,
50대,남성,"역삼, 연희, 교대, 용산, 이태원, 관악, 신림, 성신여대, 고척, 강북",,
40대,남성,"서초, 동대문, 왕십리, 서울대입구, 성신여대, 마포, 불광, 은평, 강북, 쌍문",,
40대,여성,"연남, 연희, 을지로, 서울숲, 광화문, 송파, 이태원, 서울대입구, 연신내, 강북",,
40대,여성,"연희, 논현, 서울숲, 종로, 송파, 방이, 건대, 안암, 불광, 은평",,
30대,여성,"망원, 교대, 방배, 문래, 대학로, 송파, 방이, 한남, 서울대입구, 쌍문",,
30대,여성,"신촌, 신사, 논현, 청담, 망원, 상암, 교대, 명동, 을지로, 성수, 서울숲",,
10대,남성,"연희, 청담, 압구정, 영등포, 종로, 이태원, 관악, 서울대입구, 성신여대, 마포",,
10대,여성,"합정, 강남, 신촌, 이대, 신사, 압구정, 서초, 명동, 관악, 안암",,
50대,남성,"이대, 압구정, 서초, 명동, 동대문, 신림, 성신여대, 안암, 연신내, 목동",,
20대,여성,"청담, 상암, 방배, 동대문, 왕십리, 서울숲, 영등포, 종로, 송파, 성신여대",,
20대,남성,"압구정, 상암, 교대, 명동, 여의도, 송파, 이태원, 관악, 건대, 마포",,
20대,여성,"이대, 청담, 상암, 잠실, 관악, 건대, 성신여대, 마포, 연신내, 쌍문",,
50대,여성,"삼성, 이대, 왕십리, 여의도, 성신여대, 고척, 불광, 연신내, 은평, 목동",,
,,,,
,,,,
나이,홍대,연신내,,을지로
0,1,,,
0,0,,,
5,1,,,
4,0,,,
1,1,,,
0,0,,,
